Libellé Fonction,Sous-fonction,Libellé sous-fonction,Article,Bénéficiaire,Budget de l'année,Libellé article
Interventions sociales et santé,524.1,Autres interventions  sociales,6574,Provision aide aux syndicats pour formation et personnel,181131,Subv. fonct. aux associat.et autres personnes droit privé
Action économique,93.1,Maitrise énergie,6574,Provision pour associations diverses,41000,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574,La Bellangerais : Maison  Quartier Bellangerais,234135,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,524.1,Autres interventions  sociales,6574,Association pour la Promotion de l'Action et de l'Animation Sociale (APRAS) (fonctionnement),183000,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,40.25,Animation sportive,6574,Avenir de Rennes,82626,Subv. fonct. aux associat.et autres personnes droit privé
Culture,311.15,CRR - Musiques,6574,ADEC - Maison du Théâtre Amateur Formation musicale,2500,Subv. fonct. aux associat.et autres personnes droit privé
Services généraux des administrations publiques locales,20.61,Autres charges de personnel,6574,Association des Régisseurs de la Ville de Rennes,209,Subv. fonct. aux associat.et autres personnes droit privé
Action économique,94.1,Commerce - diverses actions,6574,Carré Rennais (association des commerçants et artisans réunis rennais),91271,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574,EPI,2695,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574,Fédération Régionale des Centres Sociaux et Socio-culturels de Bretagne,9013,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574.02,La Bellangerais : Maison  Quartier Bellangerais (fonctionnement pôle multimédia),10000,Subvention fonct. - Nouvelles technologies
Culture,33.1,Autres actions artistiques et culturelles,6574,Maison de la Poésie,60717,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574,Maison de Quartier Rennes Nord Saint-Martin,179993,Subv. fonct. aux associat.et autres personnes droit privé
Enseignement et formation,255.15,Oeuvres  scolaires,6574,Office de Tourisme de Rennes Métropole -Destination Rennes - Classes de ville,7300,Subv. fonct. aux associat.et autres personnes droit privé
Famille,64.116,Autres crèches,6574,Parenbouge (Multi-accueil Croc Mahon),109020,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,524.15,Egalité des droits et diversité,6574,PROVISION LAICITE,15629,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574.02,Provision multimédia (formation,36060,Subvention fonct. - Nouvelles technologies
Culture,311.15,CRR - Musiques,6574,Terre des arts Formation musicale,8370,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,524.1,Autres interventions  sociales,6574,Union Locale Union Nationale des Syndicats Autonomes (UNSA),41081,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,512.2,Actions de prévention sanitaire,6574,Maison Associative de la Santé (MAS),107197,Subv. fonct. aux associat.et autres personnes droit privé
Culture,311.15,CRR - Musiques,6574,MJC Antipode Cleunay - Formation musicale,2500,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574,MJC MAISON DE SUEDE,200750,Subv. fonct. aux associat.et autres personnes droit privé
Enseignement et formation,255.15,Oeuvres  scolaires,6574,Association des Fourneaux Economiques (des écoles privées de Rennes),398500,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574,Comité d'Etablissement des Cheminots de Bretagne,10000,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,524.1,Autres interventions  sociales,6574,Dispositif de Soutien aux Tuteurs Familiaux d'Ille-et-Vilaine,1000,Subv. fonct. aux associat.et autres personnes droit privé
Enseignement et formation,255.1,Activités éducatives périscolaires,6574,FAL 35 Accompagnement à la scolarité,30000,Subv. fonct. aux associat.et autres personnes droit privé
Famille,64.116,Autres crèches,6574,CRECHE BILINGUE NEIZHIG,82500,Subv. fonct. aux associat.et autres personnes droit privé
Services généraux des administrations publiques locales,23.101,Information Communication,6574,Rennes Cité Média TV Rennes (RCM),880000,Subv. fonct. aux associat.et autres personnes droit privé
Famille,64.116,Autres crèches,6574,Provision pour projets innovants Petite Enfance,3963,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,40.25,Animation sportive,6574,REC Aviron,790,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574,PHAKT L. LAGRANGE,123668,Subv. fonct. aux associat.et autres personnes droit privé
